Indicateur,Valeur,Unite,Annee,Source
PIB_RDC,70946,Millions USD,2024,Makanisi
PIB_RDC,76157,Millions USD,2025,Makanisi Projection
PIB_RDC_alt,70750,Millions USD,2024,Trading Economics
PIB_RDC_alt,69700,Millions USD,2025,Trading Economics
Croissance_PIB_Min,5.7,%,2024,Banque Africaine Developpement
Croissance_PIB_Max,7.9,%,2024,Ambassade RDC Chine
Croissance_PIB_FMI,6.5,%,2024,FMI
Croissance_PIB_Ministre,6.5,%,2024,Ministre Finances RDC
Croissance_PIB_2025,5.6,%,2025,Banque Africaine Developpement
Croissance_PIB_2025_Min,5.1,%,2025,Ministere Plan
Croissance_PIB_2025_BCC,5.3,%,2025,Banque Centrale Congo
Croissance_Secteur_Minier,12.2,%,2024,Zoom-Eco
Croissance_Secteur_Minier_2025,8.2,%,2025,Zoom-Eco
Part_Recettes_Mines,30,%,2025,Coface/Bankable
Investissement_Exploration_Mines,130.7,Millions USD,2024,Bankable Africa
Investissement_Cuivre,71.5,Millions USD,2024,Bankable Africa
Investissement_Cobalt,8.3,Millions USD,2024,Bankable Africa
Production_Kamoa_Kakula,600000,Tonnes concentre/an,2024,Agence Ecofin
Population_Kinshasa,12000000,Habitants,2024,ACP
Population_RDC,100000000,Habitants,2024,Estimation
Inflation_RDC,13,%,2024,Reuters
Economie_Informelle,90,%,2024,Le Moci
Classe_Moyenne,15,%,2024,Le Moci
