URL,Type,Description,Source
https://www.instagram.com/immo.rose/,Instagram,Compte principal ImmoRose,Etude
https://www.instagram.com/miroirmall/,Instagram,Compte MiroirMall,Etude
https://www.facebook.com/immorosesarl/,Facebook,Page officielle,Etude
https://fr.linkedin.com/company/immorose-rdc,LinkedIn,Page entreprise,Etude
https://fr.linkedin.com/posts/immorose-rdc_lexcellence-de-limmobilier-%C3%A0-kinshasa-activity-7371185870168666112-LbM5,LinkedIn,Post excellence immobilier,Etude
https://fr.linkedin.com/posts/immorose-rdc-0b8839342_miroirmall-immobilier-centrecommercial-activity-7338272988049354752-sa5l,LinkedIn,Post MiroirMall,Etude
https://www.instagram.com/p/DKzg9IAohls/,Instagram,Miroir Mall Mining Week,Etude
https://www.instagram.com/reel/DI3MsaQIaRm/,Instagram,Retour ExpoBeton,Etude
https://www.instagram.com/reel/DIvWgtpor9x/,Instagram,Mr Manoj interview,Etude
https://www.instagram.com/p/DLcskbExl1R/,Instagram,1000 emplois annonce,Etude
https://www.instagram.com/reel/DQYjAn9Aewp/,Instagram,Lieu nature,Etude
https://www.instagram.com/reel/DO8TuLsCIyk/,Instagram,Lubumbashi on arrive,Etude
https://www.instagram.com/p/DLWmnyGoSII/,Instagram,Bureaux ouverts,Etude
https://www.instagram.com/p/DOLCUALjJku/,Instagram,Miroir Mall marques,Etude
https://www.instagram.com/reel/DNdUrVTobOv/,Instagram,Compte rebours,Etude
https://www.instagram.com/reel/DLz93ADtZT9/,Instagram,Destination gourmande,Etude
https://www.instagram.com/reel/DPoOOu7DN2d/,Instagram,Redefine experience,Etude
https://www.instagram.com/reel/DJwjBsSuk9h/,Instagram,KBM presence,Etude
https://www.facebook.com/immorosesarl/videos/2803191676506184/,Facebook,Video 9 Carats,Etude
https://www.facebook.com/immorosesarl/videos/828227522989796/,Facebook,Maquette MiroirMall,Etude
https://www.facebook.com/PeopleCd/videos/1975414246558540/,Facebook,Amal Jafar ExpoBeton,Etude
https://www.youtube.com/watch?v=va6jQ15KWzM,YouTube,9 Carats presentation,Search
https://www.youtube.com/watch?v=PhmlICx19GI,YouTube,Videos Immorose,Search
https://www.threads.com/@kivubrand/post/DQM56jxDC8t,Threads,Build brands partner,Etude
