Facteur,Description,Impact,Source
Entree_RDC,Shoprite entre en RDC,Ouverture premiers magasins,2012
Nombre_Magasins,3 magasins en 10 ans (2 Kinshasa + 1 Lubumbashi),Expansion très lente,Multiple
Annonce_Fermeture,21 novembre 2022,Décision officielle,JeuneAfrique
Fermeture_Lubumbashi,Fin novembre 2022,Dernier magasin fermé,Depeche.cd
Inflation_Mai_2022,7.79%,Pression sur marges,Reuters
Inflation_Sept_2022,11.7%,Aggravation conditions,Agence Ecofin
Volatilite_Change,Franc congolais instable,Risque financier majeur,Multiple
Loyers_USD,Loyers exprimés en dollars,Pression couts fixes,JeuneAfrique
Droits_Importation,Taxes importation élevées,Prix peu compétitifs,Reuters
Climat_Affaires,Complexe et hostile,Difficulté opérationnelle,Africa Report
Strategie_Retrait,Consolidation sur Afrique du Sud,Focus marché domestique,Multiple
Autres_Pays_Retrait,Nigeria Kenya Ouganda Madagascar,Pattern de retrait continent,Multiple
Croissance_RSA,19.9% ventes Q1 2023,Succès marché domestique,JeuneAfrique
Lecon_MiroirMall,Marché difficile mais opportunité si bien positionné,Niche premium mieux adaptée,Analyse
